edition_id,proceedings_id
AAfTMOaS_2022,proceedings_001
ACC_2023,proceedings_002
ACaIT_2021,proceedings_003
ACoAI_2022,proceedings_004
ACoAI_2023,proceedings_005
ACotIIES_2021,proceedings_006
AGLSoV_2021,proceedings_007
AIAaI_2020,proceedings_008
AICSaAC_2020,proceedings_009
AICoCSaA_2022,proceedings_010
AICoMDELaS_2020,proceedings_011
AICoT_2022,proceedings_012
AISoMAHNaC_2023,proceedings_013
AIaSC_2023,proceedings_014
AMaSC_2023,proceedings_015
AMotAfCL_2020,proceedings_016
ASSCMLwKE_2022,proceedings_017
BEIC_2023,proceedings_018
BfdM_2021,proceedings_019
CCaDC_2020,proceedings_020
CCaDC_2022,proceedings_021
CCoEaCE_2022,proceedings_022
CVaPR_2020,proceedings_023
C_2021,proceedings_024
CaCC_2020,proceedings_025
CaCWaC_2023,proceedings_026
CoAKBC_2020,proceedings_027
CoCSaIS_2023,proceedings_028
CoCaCS_2020,proceedings_029
CoFAaT_2022,proceedings_030
DAC_2021,proceedings_031
DES_2020,proceedings_032
DSPaSPEW_2021,proceedings_033
ECoAaP_2022,proceedings_034
ECoOC_2021,proceedings_035
FIaMotH_2021,proceedings_036
GCC_2021,proceedings_037
GCC_2022,proceedings_038
HAIS_2021,proceedings_039
HCoAI_2020,proceedings_040
"IC""TaI_2022",proceedings_041
ICBBaB_2020,proceedings_042
ICICaCS_2022,proceedings_043
ICIEaT_2023,proceedings_044
ICRaAE_2023,proceedings_045
ICSASoV_2023,proceedings_046
ICS_2021,proceedings_047
ICoACI_2023,proceedings_048
ICoACaSS_2022,proceedings_049
ICoAINaA_2021,proceedings_050
ICoAISE_2021,proceedings_051
ICoAIaSC_2023,proceedings_052
ICoAIaS_2020,proceedings_053
ICoAIaS_2021,proceedings_054
ICoAaIS_2022,proceedings_055
ICoBDR_2020,proceedings_056
ICoBSaSP_2023,proceedings_057
ICoCAaS_2021,proceedings_058
ICoCCCaa_2023,proceedings_059
ICoCC_2021,proceedings_060
ICoCCaA_2020,proceedings_061
ICoCCaIP_2022,proceedings_062
ICoCCaI_2022,proceedings_063
ICoCCaI_2023,proceedings_064
ICoCCaNT_2020,proceedings_065
ICoCCaNT_2021,proceedings_066
ICoCCaNT_2023,proceedings_067
ICoCIPaAE_2020,proceedings_068
ICoCIaCN_2020,proceedings_069
ICoCIaCN_2022,proceedings_070
ICoCIaIS_2023,proceedings_071
ICoCLaIS_2023,proceedings_072
ICoCLatA_2022,proceedings_073
ICoCPaCT_2023,proceedings_074
ICoCSaAI_2021,proceedings_075
ICoCSaIT_2021,proceedings_076
ICoCSaNT_2022,proceedings_077
ICoCT_2020,proceedings_078
ICoCaES_2022,proceedings_079
ICoCaNS_2023,proceedings_080
ICoDCSW_2021,proceedings_081
ICoDH_2021,proceedings_082
ICoDM_2021,proceedings_083
ICoDSM&P_2020,proceedings_084
ICoDSaAA_2021,proceedings_085
ICoDSiC_2021,proceedings_086
ICoECaS_2022,proceedings_087
ICoEDT_2021,proceedings_088
ICoEIS_2020,proceedings_089
ICoEIaC_2022,proceedings_090
ICoEaEE_2023,proceedings_091
ICoFoIT_2022,proceedings_092
ICoHFiCS_2023,proceedings_093
ICoHIS_2021,proceedings_094
ICoHS_2020,proceedings_095
ICoICS&T_2020,proceedings_096
ICoICaCC_2022,proceedings_097
ICoIEaOAoAIS_2020,proceedings_098
ICoIIP_2021,proceedings_099
ICoII_2022,proceedings_100
ICoIP_2023,proceedings_101
ICoISaS_2020,proceedings_102
ICoISfCRaM_2020,proceedings_103
ICoIT_2022,proceedings_104
ICoITaEE_2023,proceedings_105
ICoIV_2022,proceedings_106
ICoLAaK_2020,proceedings_107
ICoMDM_2021,proceedings_108
ICoMICaCI_2023,proceedings_109
ICoMI_2022,proceedings_110
ICoMLOaDS_2020,proceedings_111
ICoMLOaDS_2021,proceedings_112
ICoML_2021,proceedings_113
ICoML_2022,proceedings_114
ICoML_2023,proceedings_115
ICoMLaA_2023,proceedings_116
ICoMLaC_2020,proceedings_117
ICoMLaC_2023,proceedings_118
ICoMaMViP_2023,proceedings_119
ICoNIP_2020,proceedings_120
ICoNIS_2020,proceedings_121
ICoNiEaR_2020,proceedings_122
ICoNotF_2023,proceedings_123
ICoOT_2020,proceedings_124
ICoQCaE_2023,proceedings_125
ICoRAaIiE_2023,proceedings_126
ICoRC_2021,proceedings_127
ICoRMaS_2022,proceedings_128
ICoSC_2022,proceedings_129
ICoSCaPR_2022,proceedings_130
ICoSGaGIS_2021,proceedings_131
ICoSNAMaS_2021,proceedings_132
ICoS_2020,proceedings_133
ICoSaC_2021,proceedings_134
ICoSaDT_2022,proceedings_135
ICoTSaPiCaC_2022,proceedings_136
ICoTaAoST_2021,proceedings_137
ICoVD_2022,proceedings_138
ICoWCaMC_2023,proceedings_139
IEDTaMC_2020,proceedings_140
IIC_2020,proceedings_141
IICoASaSP_2021,proceedings_142
IICoBaB_2021,proceedings_143
IICoCE_2022,proceedings_144
IICoECaCT_2022,proceedings_145
IICoET_2022,proceedings_146
IICoFS_2022,proceedings_147
IICoHI_2021,proceedings_148
IICoMaE_2023,proceedings_149
IICoRaA_2022,proceedings_150
IICoSAEaR_2021,proceedings_151
IICoSGC_2022,proceedings_152
IICoSGC_2023,proceedings_153
IICoSMCfIT_2021,proceedings_154
IICoSQRaSC_2023,proceedings_155
IICoVLSIoS_2022,proceedings_156
IICoe_2022,proceedings_157
IIGaRSS_2020,proceedings_158
IIGaRSS_2023,proceedings_159
IIJCoNN_2020,proceedings_160
IISoBI_2021,proceedings_161
IISoHOSaT_2021,proceedings_162
IISoQED_2020,proceedings_163
IIaCPSTC_2021,proceedings_164
IJCoAI_2022,proceedings_165
IJCoCSaSE_2020,proceedings_166
IMC_2022,proceedings_167
INCoS_2020,proceedings_168
INCoS_2021,proceedings_169
INCoS_2022,proceedings_170
INCoS_2023,proceedings_171
IN_2023,proceedings_172
IPISGTC_2023,proceedings_173
IR1C_2022,proceedings_174
IRSS_2021,proceedings_175
ISDC_2020,proceedings_176
ISaSC_2023,proceedings_177
ISoADS_2023,proceedings_178
ISoCA_2021,proceedings_179
ISoCaS_2023,proceedings_180
ISoHONaET_2020,proceedings_181
ISoIT_2021,proceedings_182
ISoIT_2022,proceedings_183
ISoIaSPaA_2022,proceedings_184
ISoSEfAaSS_2021,proceedings_185
ISoSTaA_2023,proceedings_186
ISoVMaV_2021,proceedings_187
ITC_2020,proceedings_188
IUPSICoECaEE_2022,proceedings_189
IUPSICoECaEE_2023,proceedings_190
IVNC_2020,proceedings_191
IWCaNC_2021,proceedings_192
IWoMLfSP_2021,proceedings_193
IWoQoS_2021,proceedings_194
IWoSARaI_2022,proceedings_195
IWoSDaIAiC_2022,proceedings_196
IWoSPAiWC_2023,proceedings_197
IWoSaSMAaP_2023,proceedings_198
I_2020,proceedings_199
I_2021,proceedings_200
IaCTC_2020,proceedings_201
MCoEC_2022,proceedings_202
MIE_2022,proceedings_203
NIPS_2020,proceedings_204
NIPS_2021,proceedings_205
NIPS_2023,proceedings_206
PCoKDaDM_2021,proceedings_207
RiAaCS_2023,proceedings_208
SAS_2022,proceedings_209
SEpBdD_2021,proceedings_210
S_2021,proceedings_211
USS_2023,proceedings_212
WFoIoT_2022,proceedings_213
WFoIoT_2023,proceedings_214
WSaDM_2020,proceedings_215
