volume_id,number,date,year
24_2021_JOMIR,24,2021-07-29,2021
16_2021_IJOETIL,16,2021-08-23,2021
8_2021_IIOTJ,8,2021-08-15,2021
NA_2022_AP,NA,2022-04-08,2022
NA_2023_IJOSARA,NA,2023-09-30,2023
2023_2023_CAMMIM,2023,2023-12-13,2023
22_2023_BPC,22,2023-02-03,2023
19_2023_JOCVAHT,19,2023-02-17,2023
7_2020_ITONSAE,7,2020-01-01,2020
NA_2023_IJOARISCAT,NA,2023-12-31,2023
281_2022_EJOOGARB,281,2022-12-01,2022
6_2020_ITOBD,6,2020-09-01,2020
35_2020_EN,35,2020-05-14,2020
PP_2022_IA,PP,,2022
146_2022_C&OR,146,,2022
NA_2023_E,NA,2023-02-28,2023
NA_2023_JOSEAIT,NA,2023-09-17,2023
5_2023_AIS,5,2023-08-31,2023
378_2022_S,378,2022-12-09,2022
NA_2023_IJOFS,NA,2023-07-26,2023
13_2021_S,13,2021-03-16,2021
12_2022_N,12,2022-04-01,2022
17_2020_JOAIS,17,2020-01-01,2020
20_2022_ITONASM,20,2022-04-27,2022
NA_2023_S,NA,2023-06-29,2023
NA_2023_AACE,NA,2023-10-23,2023
13_2023_JOPM,13,2023-02-01,2023
NA_2020_AOTRD,NA,2020-06-01,2020
NA_2020_CEJ,NA,2020-03-01,2020
9_2021_IA,9,,2021
NA_2023_POISEAC,NA,2023-08-01,2023
44_2020_GE,44,2020-07-22,2020
82_2022_MTAA,82,2022-09-02,2022
NA_2023_IUR,NA,2023-05-01,2023
91_2023_MRIM,91,2023-11-06,2023
14_2022_IJOB,14,,2022
68_2021_ITOBE,68,2021-05-14,2021
NA_2023_IJOIRISEAT,NA,2023-11-25,2023
68_2021_CC,68,2021-12-30,2021
NA_2022_IJOARISCAT,NA,2022-05-05,2022
33_2021_FAOC,33,2021-05-17,2021
65_2020_PIMAB,65,2020-06-22,2020
20_2021_JOWE,20,,2021
193_2022_CC,193,2022-07-01,2022
21_2021_BC,21,2021-08-27,2021
11_2023_ITOETIC,11,2023-04-01,2023
NA_2023_IJORAITICAC,NA,2023-05-17,2023
17_2022_PO,17,2022-10-14,2022
31_2022_ESJ,31,2022-05-11,2022
63_2022_B,63,2022-12-20,2022
30_2023_ESAPRI,30,2023-07-04,2023
14_2022_RS,14,2022-02-09,2022
14_2021_IJOMLAC,14,2021-03-26,2021
79_2020_MTAA,79,2020-08-26,2020
65_2021_O&GS,65,2021-12-15,2021
64_2023_A,64,2023-06-27,2023
NA_2022_JOCTAC,NA,2022-09-13,2022
42_2022_JOMABE,42,2022-11-11,2022
NA_2023_AS,NA,2023-09-28,2023
14_2023_FIPS,14,2023-04-06,2023
13_2023_FIO,13,2023-08-03,2023
23_2023_BMIADM,23,2023-06-11,2023
NA_2023_CAA,NA,2023-10-05,2023
NA_2023_IRJOMIETAS,NA,2023-11-24,2023
NA_2023_JOAP,NA,2023-01-14,2023
16 4_2023_S&E,16 4,2023-07-18,2023
NA_2023_IJOEACE,NA,2023-12-01,2023
26_2022_JOACIAII,26,2022-09-20,2022
15_2022_A,15,2022-09-18,2022
10_2023_ITOCSS,10,2023-12-01,2023
15_2023_P,15,2023-08-01,2023
15_2022_JOIR,15,2022-11-01,2022
10_2022_SD,10,2022-11-29,2022
46_2023_PAESIM,46,2023-02-14,2023
16_2022_IJOIMT,16,2022-08-31,2022
160_2020_ESWA,160,2020-12-01,2020
NA_2023_VIH,NA,2023-06-01,2023
535_2020_IS,535,2020-10-01,2020
18_2021_PO,18,2021-10-09,2021
61_2023_ICM,61,2023-04-01,2023
NA_2023_JOTES,NA,2023-09-27,2023
62 8_2023_AO,62 8,2023-01-09,2023
NA_2022_JOBS,NA,2022-10-24,2022
_2023_OMR,,2023-11-15,2023
25_2022_JOS,25,2022-04-13,2022
NA_2023_OR,NA,2023-12-21,2023
9_2022_FIRAA,9,2022-12-01,2022
24_2020_IJOBAHI,24,2020-05-01,2020
26_2021_EAIT:OJOTITCOE,26,2021-02-12,2021
NA_2023_MUPB,NA,2023-12-01,2023
38_2021_EC,38,2021-03-02,2021
21_2020_BMIADM,21,2020-07-02,2020
41_2022_JOUIM,41,2022-08-24,2022
37_2023_JOCMD,37,2023-07-15,2023
NA_2020_JOPCB,NA,2020-07-30,2020
26_2021_SC-AFOFMAA,26,2021-10-25,2021
NA_2023_EHJ,NA,2023-11-01,2023
10_2022_IA,10,,2022
168_2023_EM&S,168,2023-10-01,2023
18_2023_PO,18,2023-01-20,2023
101_2023_G&P,101,2023-01-01,2023
26_2021_IJOBAHI,26,2021-07-02,2021
NA_2023_IJFRIASAET,NA,2023-12-31,2023
NA_2023_EIUPR,NA,,2023
NA_2023_CR,NA,,2023
56_2020_ACS,56,2020-07-15,2020
45_2021_ITOPAAMI,45,2021-07-04,2021
22_2021_IJOMS,22,2021-01-01,2021
13_2022_FIG,13,2022-04-27,2022
NA_2023_B,NA,2023-06-12,2023
NA_2023_MLR,NA,2023-10-08,2023
NA_2022_KJOFP,NA,2022-06-20,2022
abs/2303.14453_2023_IDEB,abs/2303.14453,2023-03-25,2023
NA_2022_JOASAE,NA,,2022
75_2022_AC&R,75,2022-05-19,2022
50_2021_JOCS,50,,2021
27_2023_SC-AFOFMAA,27,2023-02-27,2023
17_2023_FIHN,17,2023-04-20,2023
29 Supplement_1_2023_MAM,29 Supplement_1,2023-07-22,2023
25_2021_IJOBAHI,25,2021-03-22,2021
NA_2023_JOEECAS,NA,2023-12-21,2023
136_2023_ASC,136,2023-02-01,2023
118_2023_AJOG,118,2023-10-01,2023
39_2021_ROJ,39,2021-10-26,2021
NA_2023_ICIHAMT,NA,2023-10-01,2023
110_2021_ASC,110,2021-10-01,2021
48_2023_AR,48,2023-03-13,2023
35_2021_IJOPRAAI,35,2021-08-01,2021
_2023_FIES,,2023-06-13,2023
15_2021_IS,15,2021-04-04,2021
19_2022_B,19,2022-08-24,2022
NA_2022_JONS,NA,2022-12-18,2022
785_2021_SOTTE,785,2021-04-24,2021
NA_2023_IANCACP,NA,2023-11-30,2023
NA_2022_ER,NA,2022-01-01,2022
NA_2023_FOP,NA,2023-08-10,2023
abs/2305.19505_2023_AML,abs/2305.19505,2023-05-31,2023
23_2021_NJOP,23,2021-02-11,2021
26_2023_EAIT,26,2023-12-12,2023
2_2022_NCS,2,2022-08-01,2022
944_2022_AJ,944,2022-12-20,2022
49 2_2021_CRIBE,49 2,,2021
6_2020_SWRM,6,2020-07-09,2020
NA_2020_A,NA,2020-03-06,2020
15_2023_AR&T,15,2023-02-23,2023
149_2020_ROCS,149,,2020
11_2023_IA,11,,2023
14_2023_FIG,14,2023-03-15,2023
12_2022_BO,12,2022-04-01,2022
abs/2206.09054_2022_SSRN,abs/2206.09054,2022-06-17,2022
NA_2023_RPAC,NA,2023-12-01,2023
15_2022_IJOIT,15,2022-11-20,2022
NA_2021_ITAL,NA,2021-03-11,2021
17_2023_IJOIMT,17,2023-11-27,2023
NA_2021_JOPCL,NA,2021-10-21,2021
21_2022_JOI&KM,21,2022-07-14,2022
23_2023_ITOWC,23,2023-06-07,2023
8_2020_JOMI,8,2020-12-09,2020
NA_2020_JSDI,NA,2020-06-17,2020
13_2023_SR,13,2023-01-23,2023
_2023_WPC,,2023-03-04,2023
106_2023_C,106,2023-12-07,2023
151_2021_C&IE,151,,2021
abs/2111.01037_2021_AOMR,abs/2111.01037,2021-11-01,2021
12_2022_FIO,12,2022-10-20,2022
19_2022_IJOERAPH,19,2022-07-01,2022
11_2021_SR,11,2021-01-12,2021
2022_2021_EJOAISP,2022,2021-12-01,2021
23_2021_E,23,2021-10-28,2021
abs/2101.04516_2021_JOWEAIA,abs/2101.04516,2021-01-10,2021
12_2020_JOAIAHC,12,2020-07-06,2020
8_2020_IA,8,,2020
40_2021_JOI&FS,40,,2021
14_2022_FIAN,14,2022-06-14,2022
NA_2023_RJOETIMAM,NA,2023-06-02,2023
130_2022_EHP,130,2022-03-01,2022
NA_2023_JOAEATS,NA,2023-12-10,2023
69_2023_IROE,69,2023-10-01,2023
27_2023_CC,27,2023-11-07,2023
23_2023_MSR,23,2023-04-01,2023
NA_2021_JOCIAM,NA,2021-03-17,2021
NA_2020_IJOCSAMC,NA,2020-11-30,2020
2021_2021_BRI,2021,2021-06-01,2021
101_2023_MAM,101,2023-07-01,2023
16_2022_FIN,16,2022-10-20,2022
153 1_2023_JOTASOA,153 1,2023-01-01,2023
13_2020_IJOCAEAT,13,2020-05-07,2020
79_2023_JOS,79,2023-02-25,2023
11_2022_HPLSAE,11,2022-11-30,2022
32_2020_SAC,32,2020-09-15,2020
5_2023_ERC,5,2023-10-26,2023
NA_2020_JOACSAT,NA,2020-12-16,2020
abs/2105.11989_2021_MPIE,abs/2105.11989,2021-05-25,2021
8_2021_JOBD,8,2021-03-31,2021
35_2022_CAC,35,2022-08-19,2022
NA_2023_ATORTAS,NA,2023-10-16,2023
NA_2023_JOBSAD,NA,2023-12-16,2023
27_2021_NROAL,27,2021-04-03,2021
17_2022_ITOIFAS,17,,2022
247_2023_AFRMAA,247,2023-02-24,2023
35_2023_ITOKADE,35,2023-08-01,2023
NA_2023_BAS,NA,,2023
abs/2208.07017_2022_AA,abs/2208.07017,2022-08-15,2022
10_2023_IIOTJ,10,2023-05-15,2023
12_2022_AEM,12,2022-11-07,2022
41_2022_ITOMI,41,2022-07-29,2022
119_2021_POTNAOSOTUSOA,119,2021-04-15,2021
37_2023_IN,37,2023-11-01,2023
12_2020_RS,12,2020-10-26,2020
NA_2023_CCR,NA,2023-12-13,2023
23_2022_PCCM,23,2022-05-01,2022
68_2020_ITOBE,68,2020-01-25,2020
2022_2022_DM,2022,2022-08-12,2022
NA_2023_JOSCADM,NA,2023-05-25,2023
39_2020_ITOCDOICAS,39,2020-02-01,2020
196_2022_CAEIA,196,2022-05-01,2022
15_2020_AOAS,15,2020-08-26,2020
NA_2020_JOIAG,NA,,2020
NA_2023_JOCIAM,NA,2023-01-03,2023
40_2023_JOMIS,40,2023-01-02,2023
NA_2023_CIO,NA,2023-09-01,2023
NA_2020_IJOPR,NA,2020-12-02,2020
47_2023_RPDSPAJOPH,47,2023-03-10,2023
14_2023_NC,14,2023-09-18,2023
NA_2023_IJOACSAA,NA,,2023
NA_2023_JOER,NA,2023-06-19,2023
198_2022_CAEIA,198,2022-07-01,2022
60_2022_ITOGARS,60,,2022
12_2022_SR,12,2022-04-26,2022
14_2021_M,14,2021-04-29,2021
_2023_JONC,,2023-01-09,2023
16_2021_IJOCARAS,16,2021-03-24,2021
NA_2023_ISF,NA,2023-11-14,2023
NA_2023_RIE,NA,2023-11-01,2023
164_2022_AJ,164,2022-06-16,2022
NA_2022_N,NA,2022-02-15,2022
173_2022_AIES,173,2022-11-01,2022
21_2021_BMIADM,21,2021-11-09,2021
15_2023_RS,15,2023-04-18,2023
PP_2021_ITOEM,PP,,2021
31_2023_ITON,31,2023-04-01,2023
NA_2020_JOCIAM,NA,2020-02-13,2020
14_2021_FI,14,2021-12-22,2021
16_2022_MO,16,2022-09-09,2022
NA_2023_BABE,NA,2023-06-26,2023
21_2022_JOWE,21,2022-07-27,2022
13_2021_ISCLS,13,2021-02-08,2021
7_2020_JOBD,7,2020-03-16,2020
61_2022_IJOPR,61,2022-11-25,2022
17_2020_A&D,17,2020-09-13,2020
4_2023_AS,4,2023-03-01,2023
14_2022_N,14,2022-01-01,2022
30_2021_ITOFS,30,2021-02-08,2021
16_2023_AS,16,2023-06-01,2023
11_2022_SD,11,2022-05-24,2022
NA_2022_SOO,NA,2022-04-12,2022
NA_2023_IJOIRASS,NA,2023-10-02,2023
NA_2020_CJOC,NA,2020-03-05,2020
NA_2022_R,NA,2022-07-19,2022
10_2022_BTRAT,10,2022-04-01,2022
28_2022_ITOVACG,28,2022-09-01,2022
113_2023_PM(S,113,2023-08-09,2023
15_2023_C,15,2023-10-01,2023
10_2023_JOMI,10,2023-07-01,2023
164_2020_OH&NS,164,2020-08-25,2020
NA_2023_IJOIAVP,NA,2023-11-01,2023
NA_2020_B,NA,2020-10-09,2020
16_2023_A,16,2023-01-20,2023
27_2023_PAUC,27,2023-09-19,2023
17_2022_IJOCARAS,17,2022-08-08,2022
24_2023_BB,24,2023-07-28,2023
NA_2023_IJOAAME,NA,2023-07-04,2023
NA_2023_IJOSRIEAM,NA,2023-04-09,2023
10_2020_SR,10,2020-11-02,2020
2020_2020_SP,2020,2020-08-28,2020
22_2022_ITOMC,22,2022-08-16,2022
27_2022_EAIT:OJOTITCOE,27,2022-04-11,2022
2023_2023_JOHE,2023,2023-05-24,2023
NA_2023_O(C,NA,2023-09-30,2023
213_2023_CAEIA,213,2023-10-01,2023
12_2023_JMI,12,2023-11-02,2023
8_2021_FIMB,8,2021-04-15,2021
14_2022_S,14,2022-05-05,2022
29_2020_ITONSARE,29,2020-11-11,2020
NA_2022_JOPCL,NA,2022-06-08,2022
158 11_2023_JOCP,158 11,2023-01-12,2023
NA_2022_S,NA,2022-10-20,2022
29_2023_IP,29,2023-06-30,2023
NA_2020_STPEA,NA,2020-09-30,2020
abs/2111.03274_2020_RAICSAC,abs/2111.03274,2020-09-04,2020
20_2023_IJOERAPH,20,2023-10-01,2023
13_2020_ATORTAS,13,2020-06-03,2020
31_2021_IJONM,31,2021-05-12,2021
NA_2023_IJOSAR,NA,2023-08-05,2023
NA_2023_TPOF,NA,2023-12-01,2023
NA_2023_M,NA,2023-11-01,2023
11_2021_T,11,2021-01-01,2021
NA_2023_SSRN,NA,2023-06-01,2023
NA_2022_JOPR,NA,2022-01-24,2022
abs/2108.05421_2021_TSR,abs/2108.05421,2021-08-11,2021
abs/2312.00102_2023_POES,abs/2312.00102,2023-11-30,2023
27_2022_ITOEC,27,2022-06-23,2022
NA_2022_B,NA,2022-05-17,2022
14_2021_JOITR,14,2021-01-01,2021
111_2021_ML,111,2021-06-15,2021
71_2021_G,71,2021-01-21,2021
37_2021_JOOS,37,2021-03-01,2021
77_2020_JOS,77,2020-07-28,2020
NA_2023_IJOCIR,NA,2023-06-30,2023
11_2020_FII,11,2020-07-22,2020
118_2021_JOBI,118,2021-04-26,2021
NA_2023_IJFCAI,NA,2023-09-30,2023
abs/2410.05332_2022_PJ,abs/2410.05332,2022-11-01,2022
10_2023_RSIEAC,10,2023-07-10,2023
PP_2020_IA,PP,2020-07-20,2020
84_2023_BSPAC,84,2023-03-01,2023
NA_2023_IJODANS,NA,,2023
NA_2023_HA,NA,2023-11-01,2023
54 6_2023_NF,54 6,2023-06-01,2023
16_2023_JOOCAN,16,2023-07-19,2023
16_2020_A&D,16,2020-12-01,2020
NA_2023_CC,NA,2023-12-22,2023
25_2022_IJOFS,25,2022-12-21,2022
NA_2023_TJOM&CS,NA,2023-12-31,2023
2023_2023_IJOIS,2023,2023-03-03,2023
14_2022_B,14,2022-08-15,2022
NA_2022_JOCIAM,NA,2022-05-10,2022
abs/2302.05059_2023_PRR,abs/2302.05059,2023-02-10,2023
13_2023_FIG,13,2023-01-04,2023
71_2022_ITOIAM,71,,2022
2022_2022_JOHE,2022,2022-01-07,2022
NA_2023_MACA,NA,2023-08-16,2023
NA_2023_PC,NA,,2023
14_2022_P,14,2022-02-01,2022
NA_2022_AS,NA,2022-06-09,2022
131_2020_NN,131,2020-07-19,2020
15_2022_PNAA,15,2022-06-28,2022
39_2023_NB,39,2023-04-24,2023
11_2021_FIP,11,2021-01-14,2021
182_2021_ESWA,182,2021-11-15,2021
NA_2023_ER,NA,2023-11-01,2023
12_2023_IJOMIR,12,2023-03-17,2023
45_2023_JOI&FS,45,2023-08-20,2023
14_2023_FIP,14,2023-12-11,2023
28_2022_MP,28,2022-12-19,2022
8_2022_JOF,8,2022-09-01,2022
146 8_2021_IA,146 8,2021-04-26,2021
21_2020_BB,21,2020-07-07,2020
15_2021_JOA&CT,15,2021-01-01,2021
130_2023_WPC,130,2023-04-03,2023
112_2023_ML,112,2023-04-07,2023
NA_2023_OHI,NA,2023-08-15,2023
NA_2021_PCCP-P,NA,2021-09-27,2021
2022_2022_BRI,2022,2022-09-24,2022
46_2022_ITOPAAMI,46,2022-10-05,2022
34_2023_ER,34,2023-07-28,2023
NA_2022_JOIS,NA,,2022
NA_2022_APJOHS,NA,2022-06-25,2022
NA_2023_GFSD,NA,2023-11-01,2023
NA_2023_CEAS,NA,2023-09-01,2023
NA_2021_TJOCAME,NA,2021-04-28,2021
14_2021_EI,14,2021-01-14,2021
NA_2022_TJOTSOFAA,NA,2022-05-21,2022
10_2021_FICM,10,2021-08-20,2021
2020_2020_EJOWCAN,2020,2020-03-17,2020
132_2023_POTIAOSEAPS,132,2023-05-12,2023
NA_2020_CN,NA,2020-09-01,2020
15_2020_CHMR,15,2020-04-01,2020
42_2023_ETAC,42,2023-06-28,2023
NA_2021_IICONE,NA,2021-05-04,2021
7_2020_JOMI,7,2020-01-01,2020
19_2022_JOCVAHT,19,2022-08-26,2022
9_2021_B,9,2021-09-21,2021
21_2021_QIP,21,2021-10-25,2021
69_2022_ITOAC,69,2022-12-07,2022
2677_2022_TRR,2677,2022-07-14,2022
